,@timestamp,kubernetes.container.name,mqtt_topic,uuid,ix_direction
Q45LuH0BX0lHpglprsQI,2021-12-14 09:35:05.404000+00:00,oem-nodejs,carChassisNumber/DENM,94e874d5-3cb4-42d3-989b-62896dbaa45f,recv
RY5LuH0BX0lHpglprsQI,2021-12-14 09:35:05.627000+00:00,oem-nodejs,carChassisNumber/DENM,0965ffea-8eb7-4af2-a6b9-b6a641ac12f9,recv
R45LuH0BX0lHpglprsQI,2021-12-14 09:35:05.799000+00:00,oem-nodejs,carChassisNumber/DENM,f88e91dd-1258-4cd2-9487-73a5b4dccd28,recv
SY5LuH0BX0lHpglprsQI,2021-12-14 09:35:05.986000+00:00,oem-nodejs,carChassisNumber/DENM,6dc9f5a4-ffdd-42ec-be59-63a5599814f7,recv
S45LuH0BX0lHpglprsQI,2021-12-14 09:35:06.133000+00:00,oem-nodejs,carChassisNumber/DENM,b2aaac0e-5573-4658-a82e-09d69a88b994,recv
To5LuH0BX0lHpglpscT1,2021-12-14 09:35:06.296000+00:00,oem-nodejs,carChassisNumber/DENM,38d65bd5-43c6-4236-adc3-af7634146415,recv
UI5LuH0BX0lHpglpscT1,2021-12-14 09:35:06.500000+00:00,oem-nodejs,carChassisNumber/DENM,634d9526-1133-4752-8b99-0361c45eb5d6,recv
Uo5LuH0BX0lHpglpscT1,2021-12-14 09:35:06.700000+00:00,oem-nodejs,carChassisNumber/DENM,3689453d-9e17-4fc0-98f4-2fe4df934d24,recv
VI5LuH0BX0lHpglpscT1,2021-12-14 09:35:06.889000+00:00,oem-nodejs,carChassisNumber/DENM,0ccdec43-8c11-4d33-8bce-1532bd5eeaae,recv
Vo5LuH0BX0lHpglpscT1,2021-12-14 09:35:07.099000+00:00,oem-nodejs,carChassisNumber/DENM,d5908d8a-c014-41f9-97fd-a338da87bf1f,recv
ho5LuH0BX0lHpglptcTh,2021-12-14 09:35:07.303000+00:00,oem-nodejs,carChassisNumber/DENM,594df0b8-1c45-4ac8-91c7-db677933979e,recv
iI5LuH0BX0lHpglptcTh,2021-12-14 09:35:07.499000+00:00,oem-nodejs,carChassisNumber/DENM,bfa98e07-e6bd-43a7-91f5-53cceebb4829,recv
io5LuH0BX0lHpglptcTh,2021-12-14 09:35:07.693000+00:00,oem-nodejs,carChassisNumber/DENM,c14add92-5d49-4087-a615-af02cb932d59,recv
jI5LuH0BX0lHpglptcTh,2021-12-14 09:35:07.824000+00:00,oem-nodejs,carChassisNumber/DENM,8952bdd2-70d7-4bdb-870f-be8b4b05142f,recv
jo5LuH0BX0lHpglptcTh,2021-12-14 09:35:07.991000+00:00,oem-nodejs,carChassisNumber/DENM,e77235ad-93a1-462f-8450-061a3d5ac108,recv
kI5LuH0BX0lHpglptcTh,2021-12-14 09:35:08.207000+00:00,oem-nodejs,carChassisNumber/DENM,42c0ee8b-bd17-4691-aaa9-c81d2d1f7713,recv
qo5LuH0BX0lHpglpucTK,2021-12-14 09:35:08.394000+00:00,oem-nodejs,carChassisNumber/DENM,78f28191-54be-4bc6-a66e-66ba9b266b00,recv
rI5LuH0BX0lHpglpucTK,2021-12-14 09:35:08.596000+00:00,oem-nodejs,carChassisNumber/DENM,b48f4866-7f76-4523-b1f6-fbdd5b47aa09,recv
ro5LuH0BX0lHpglpucTK,2021-12-14 09:35:08.728000+00:00,oem-nodejs,carChassisNumber/DENM,484e19e2-b6fa-4b16-b8e1-4b542f44bd40,recv
sI5LuH0BX0lHpglpucTK,2021-12-14 09:35:08.894000+00:00,oem-nodejs,carChassisNumber/DENM,89652a68-1c03-4a68-bdea-f3136ff3429b,recv
so5LuH0BX0lHpglpucTK,2021-12-14 09:35:09.097000+00:00,oem-nodejs,carChassisNumber/DENM,1d98a1c3-dbcf-445f-89d6-ebe649b2bf0a,recv
tI5LuH0BX0lHpglpucTK,2021-12-14 09:35:09.308000+00:00,oem-nodejs,carChassisNumber/DENM,99f547cd-1b6d-48ad-a022-7da3a212488f,recv
to5LuH0BX0lHpglpucTK,2021-12-14 09:35:09.502000+00:00,oem-nodejs,carChassisNumber/DENM,2625c554-8ed4-452b-9900-22884e51fa96,recv
1o5LuH0BX0lHpglpvcSy,2021-12-14 09:35:09.693000+00:00,oem-nodejs,carChassisNumber/DENM,baefe43a-845c-4a03-8071-65e9139cf944,recv
2I5LuH0BX0lHpglpvcSy,2021-12-14 09:35:09.893000+00:00,oem-nodejs,carChassisNumber/DENM,a3a13c18-8c7e-4e0e-99ba-0612ebd61dde,recv
2o5LuH0BX0lHpglpvcSy,2021-12-14 09:35:10.103000+00:00,oem-nodejs,carChassisNumber/DENM,b1008951-1d0a-4c7f-8a63-4c7cddef00ac,recv
No5LuH0BX0lHpglpOL9_,2021-12-14 09:34:35.273000+00:00,oem-nodejs,carChassisNumber/DENM,7084415b-2755-4912-a9f7-d299970c7a9a,recv
OI5LuH0BX0lHpglpOL9_,2021-12-14 09:34:35.388000+00:00,oem-nodejs,carChassisNumber/DENM,6a144a5f-888e-4847-9f71-ab776cbb3370,recv
Oo5LuH0BX0lHpglpOL9_,2021-12-14 09:34:35.609000+00:00,oem-nodejs,carChassisNumber/DENM,98d32594-f6f4-472e-ab76-300bb5f51adf,recv
PI5LuH0BX0lHpglpOL9_,2021-12-14 09:34:35.796000+00:00,oem-nodejs,carChassisNumber/DENM,dc5ba890-0205-4a2b-9c1c-a6eeb2ae0355,recv
Po5LuH0BX0lHpglpOL9_,2021-12-14 09:34:35.989000+00:00,oem-nodejs,carChassisNumber/DENM,7a69fffa-0dd4-4524-87ec-17ba57e522d9,recv
QY5LuH0BX0lHpglpPL9q,2021-12-14 09:34:36.227000+00:00,oem-nodejs,carChassisNumber/DENM,dcc49106-52c1-4bfc-8164-64357a11126c,recv
Q45LuH0BX0lHpglpPL9q,2021-12-14 09:34:36.326000+00:00,oem-nodejs,carChassisNumber/DENM,29459d5c-493b-4e28-8359-422bf92cf3bb,recv
RY5LuH0BX0lHpglpPL9q,2021-12-14 09:34:36.487000+00:00,oem-nodejs,carChassisNumber/DENM,b679d3c2-6798-424e-889d-e2d69602efdd,recv
R45LuH0BX0lHpglpPL9q,2021-12-14 09:34:36.704000+00:00,oem-nodejs,carChassisNumber/DENM,3151a1c7-d3c1-4c22-8e68-a438be867e17,recv
SY5LuH0BX0lHpglpPL9q,2021-12-14 09:34:36.892000+00:00,oem-nodejs,carChassisNumber/DENM,251a9dee-d2cc-43d4-ba76-008b8844df3c,recv
S45LuH0BX0lHpglpPL9q,2021-12-14 09:34:37.090000+00:00,oem-nodejs,carChassisNumber/DENM,9a3e7d8c-16a3-461d-aea1-eb439d17988e,recv
ao5LuH0BX0lHpglpQL9U,2021-12-14 09:34:37.301000+00:00,oem-nodejs,carChassisNumber/DENM,0598aeb7-77b6-49ed-857e-0f9fd0817316,recv
bI5LuH0BX0lHpglpQL9U,2021-12-14 09:34:37.493000+00:00,oem-nodejs,carChassisNumber/DENM,41f1928f-42ba-44c2-8528-db0834d69fde,recv
bo5LuH0BX0lHpglpQL9U,2021-12-14 09:34:37.690000+00:00,oem-nodejs,carChassisNumber/DENM,3c48fd5f-4a3c-4a7c-85fa-082308534f36,recv
cI5LuH0BX0lHpglpQL9U,2021-12-14 09:34:37.891000+00:00,oem-nodejs,carChassisNumber/DENM,50657516-0d89-4f61-a01d-d4718d0aadec,recv
co5LuH0BX0lHpglpQL9U,2021-12-14 09:34:38.016000+00:00,oem-nodejs,carChassisNumber/DENM,3fbc826c-a454-451b-a73b-0a1f1a8231ae,recv
jI5LuH0BX0lHpglpRL8_,2021-12-14 09:34:38.201000+00:00,oem-nodejs,carChassisNumber/DENM,d656becc-cf10-4552-8efd-628205839e84,recv
jo5LuH0BX0lHpglpRL8_,2021-12-14 09:34:38.395000+00:00,oem-nodejs,carChassisNumber/DENM,b08ec2d6-8ee2-4f3e-871d-bc43d2b3813b,recv
kI5LuH0BX0lHpglpRL8_,2021-12-14 09:34:38.601000+00:00,oem-nodejs,carChassisNumber/DENM,a7802c16-21e7-49a5-bd2b-ac84e7529abc,recv
ko5LuH0BX0lHpglpRL8_,2021-12-14 09:34:38.803000+00:00,oem-nodejs,carChassisNumber/DENM,57a600cd-0270-4e5e-abb4-adf77dd6c5f6,recv
lI5LuH0BX0lHpglpRL8_,2021-12-14 09:34:38.995000+00:00,oem-nodejs,carChassisNumber/DENM,58235953-5627-45f4-a797-4a96108c3eda,recv
tI5LuH0BX0lHpglpSL8p,2021-12-14 09:34:39.202000+00:00,oem-nodejs,carChassisNumber/DENM,3ed1df07-7124-4cc4-ad18-40a0048629ba,recv
to5LuH0BX0lHpglpSL8p,2021-12-14 09:34:39.460000+00:00,oem-nodejs,carChassisNumber/DENM,f81f063f-53fb-45c1-a294-be4c092f2beb,recv
uI5LuH0BX0lHpglpSL8p,2021-12-14 09:34:39.601000+00:00,oem-nodejs,carChassisNumber/DENM,738dbb05-3a3b-4357-a13e-7f61015b7671,recv
uo5LuH0BX0lHpglpSL8p,2021-12-14 09:34:39.726000+00:00,oem-nodejs,carChassisNumber/DENM,774a69ab-2a7b-426a-b93d-6d573a4bc7a1,recv
vI5LuH0BX0lHpglpSL8p,2021-12-14 09:34:39.873000+00:00,oem-nodejs,carChassisNumber/DENM,cf559f28-b51a-4437-8b5a-ea8694f6ea8a,recv
vo5LuH0BX0lHpglpSL8p,2021-12-14 09:34:40.124000+00:00,oem-nodejs,carChassisNumber/DENM,68799781-a009-412d-93ed-24f31323d0c4,recv
045LuH0BX0lHpglpTL8U,2021-12-14 09:34:40.296000+00:00,oem-nodejs,carChassisNumber/DENM,1b92e54d-8b0b-47f9-8d20-980216e4391a,recv
1Y5LuH0BX0lHpglpTL8U,2021-12-14 09:34:40.499000+00:00,oem-nodejs,carChassisNumber/DENM,0ba59496-4d49-411f-8634-2c895ab2eb53,recv
145LuH0BX0lHpglpTL8U,2021-12-14 09:34:40.688000+00:00,oem-nodejs,carChassisNumber/DENM,c84f230c-3f86-4743-b2a5-78a4afac34e4,recv
2Y5LuH0BX0lHpglpTL8U,2021-12-14 09:34:40.898000+00:00,oem-nodejs,carChassisNumber/DENM,5d4d79ed-224e-4709-a1c9-8e089cce2789,recv
245LuH0BX0lHpglpTL8U,2021-12-14 09:34:41.092000+00:00,oem-nodejs,carChassisNumber/DENM,8a36d4f1-adac-406f-8a17-1dcfe11b88a5,recv
Ho5LuH0BX0lHpglpT8D9,2021-12-14 09:34:41.303000+00:00,oem-nodejs,carChassisNumber/DENM,eae7ccff-ecbe-414d-9f4e-42689ee81046,recv
II5LuH0BX0lHpglpT8D9,2021-12-14 09:34:41.435000+00:00,oem-nodejs,carChassisNumber/DENM,d6047e41-f2ca-44aa-8645-2cbb3d6b4f83,recv
Io5LuH0BX0lHpglpT8D9,2021-12-14 09:34:41.591000+00:00,oem-nodejs,carChassisNumber/DENM,fa998fcf-9a46-44bf-97ab-1052a6545a95,recv
JI5LuH0BX0lHpglpT8D9,2021-12-14 09:34:41.795000+00:00,oem-nodejs,carChassisNumber/DENM,c5456de6-5e05-43a7-a8f7-f09f6dbc92e5,recv
Jo5LuH0BX0lHpglpT8D9,2021-12-14 09:34:41.984000+00:00,oem-nodejs,carChassisNumber/DENM,a23916a4-b8cc-4f08-9dd0-61d4d4879cfa,recv
TI5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:42.207000+00:00,oem-nodejs,carChassisNumber/DENM,2cd10cfd-d1ea-48bb-870d-6860de519561,recv
To5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:42.396000+00:00,oem-nodejs,carChassisNumber/DENM,a464d0f7-1ee7-452a-ae5a-6b99db1e573e,recv
UI5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:42.581000+00:00,oem-nodejs,carChassisNumber/DENM,fc6d7d7e-2c66-400d-8f81-97a8c17f550c,recv
Uo5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:42.786000+00:00,oem-nodejs,carChassisNumber/DENM,07c97308-b004-48cf-b986-b1e1541ceae5,recv
VI5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:42.995000+00:00,oem-nodejs,carChassisNumber/DENM,f1d6cdca-ae47-49d0-b940-fcdc0726928b,recv
Vo5LuH0BX0lHpglpU8Dr,2021-12-14 09:34:43.136000+00:00,oem-nodejs,carChassisNumber/DENM,0a2894d0-3c40-4025-a528-e0cd963d13bc,recv
s45LuH0BX0lHpglpV8D9,2021-12-14 09:34:43.297000+00:00,oem-nodejs,carChassisNumber/DENM,5abc781e-8fff-4e37-ae8b-638a3ec727da,recv
tY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:43.495000+00:00,oem-nodejs,carChassisNumber/DENM,0f9225b5-5f79-4054-884b-4b6eb4936867,recv
t45LuH0BX0lHpglpV8D9,2021-12-14 09:34:43.695000+00:00,oem-nodejs,carChassisNumber/DENM,6764819c-5239-44cf-aa37-31e2113cb587,recv
uY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:43.895000+00:00,oem-nodejs,carChassisNumber/DENM,0da84d3b-df7b-420e-856f-421b0eab8765,recv
u45LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.087000+00:00,oem-nodejs,carChassisNumber/DENM,bb8d23bd-439b-4ed9-8c52-64f0417aa184,recv
vY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.326000+00:00,oem-nodejs,carChassisNumber/DENM,3da40f1c-295b-4799-aaaa-06eb17c959c8,recv
v45LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.630000+00:00,oem-nodejs,carChassisNumber/DENM,82d440df-dda5-48fe-8013-2a6fc4909c52,recv
wY5LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.706000+00:00,oem-nodejs,carChassisNumber/DENM,ae89babb-d529-415f-aa1c-10dd2eb9424a,recv
w45LuH0BX0lHpglpV8D9,2021-12-14 09:34:44.833000+00:00,oem-nodejs,carChassisNumber/DENM,f18dc562-9f68-4c0c-8aee-85b79ac4825a,recv
